observation_date,BAMLC0A0CMEY
2008-12-17,8.12
2008-12-18,7.97
2008-12-19,7.99
2008-12-22,8.00
2008-12-23,7.99
2008-12-24,7.98
2008-12-25,
2008-12-26,7.93
2008-12-29,7.88
2008-12-30,7.80
2008-12-31,7.83
2009-01-01,
2009-01-02,7.98
2009-01-05,7.93
2009-01-06,7.82
2009-01-07,7.71
2009-01-08,7.60
2009-01-09,7.52
2009-01-12,7.42
2009-01-13,7.40
2009-01-14,7.36
2009-01-15,7.38
2009-01-16,7.37
2009-01-19,7.37
2009-01-20,7.42
2009-01-21,7.58
2009-01-22,7.62
2009-01-23,7.65
2009-01-26,7.65
2009-01-27,7.51
2009-01-28,7.56
2009-01-29,7.65
2009-01-30,7.64
2009-01-31,7.63
2009-02-02,7.53
2009-02-03,7.63
2009-02-04,7.66
2009-02-05,7.62
2009-02-06,7.65
2009-02-09,7.64
2009-02-10,7.45
2009-02-11,7.39
2009-02-12,7.38
2009-02-13,7.53
2009-02-16,7.52
2009-02-17,7.39
2009-02-18,7.53
2009-02-19,7.65
2009-02-20,7.67
2009-02-23,7.71
2009-02-24,7.83
2009-02-25,7.95
2009-02-26,7.99
2009-02-27,8.01
2009-02-28,7.95
2009-03-02,7.90
2009-03-03,8.02
2009-03-04,8.18
2009-03-05,8.10
2009-03-06,8.18
2009-03-09,8.33
2009-03-10,8.43
2009-03-11,8.40
2009-03-12,8.37
2009-03-13,8.34
2009-03-16,8.35
2009-03-17,8.39
2009-03-18,8.02
2009-03-19,8.08
2009-03-20,8.10
2009-03-23,8.14
2009-03-24,8.11
2009-03-25,8.22
2009-03-26,8.14
2009-03-27,8.14
2009-03-30,8.11
2009-03-31,7.95
2009-04-01,7.93
2009-04-02,7.98
2009-04-03,8.10
2009-04-06,8.09
2009-04-07,8.04
2009-04-08,7.96
2009-04-09,7.95
2009-04-10,
2009-04-13,7.83
2009-04-14,7.71
2009-04-15,7.63
2009-04-16,7.63
2009-04-17,7.64
2009-04-20,7.52
2009-04-21,7.55
2009-04-22,7.57
2009-04-23,7.51
2009-04-24,7.52
2009-04-27,7.43
2009-04-28,7.46
2009-04-29,7.45
2009-04-30,7.32
2009-05-01,7.28
2009-05-04,7.25
2009-05-05,7.18
2009-05-06,7.11
2009-05-07,7.11
2009-05-08,7.02
2009-05-11,6.91
2009-05-12,6.88
2009-05-13,6.82
2009-05-14,6.82
2009-05-15,6.82
2009-05-18,6.88
2009-05-19,6.84
2009-05-20,6.73
2009-05-21,6.80
2009-05-22,6.84
2009-05-25,6.84
2009-05-26,6.82
2009-05-27,6.88
2009-05-28,6.81
2009-05-29,6.60
