Year,S&P 500 (includes dividends),3-month T.Bill,US T. Bond (10-year),Inflation Rate,S&P 500 (Real),T. Bill (Real),T.Bond (Real),Year.1,Nominal value of $100 invested in 1928,Real value of $100 invested in 1928,Unnamed: 14,Stocks,T. Bills,T. Bonds
1928.0,0.43811155152887893,0.0308,0.008354708589799302,-0.0115607,0.45493157903462444,0.042856147059308514,0.02014833747484457,1928.0,143.8111551528879,145.49315790346245,Mean,0.1166,0.0334,0.0486
1929.0,-0.0829794661190966,0.0316,0.04203804156320426,0.005848,-0.08831102325510076,0.025602277878963742,0.03597963267134219,1929.0,131.8777822763307,116.3830920556033,Standard Error,0.02,0.0031,0.0081
1930.0,-0.25123636363636365,0.0455,0.045409314348970366,-0.0639535,-0.20007858972429649,0.11693169089356137,0.11683480932728285,1930.0,98.74528781279727,72.07903509166543,Median,0.1452,0.0294,0.0328
1931.0,-0.4383754889178619,0.0231,-0.02558855961942253,-0.0931677,-0.3806743417915991,0.1282130113803841,0.07452220259531717,1931.0,55.457773989527276,73.38974222740191,Standard Deviation,0.1955,0.0301,0.0795
1932.0,-0.08642364532019696,0.0107,0.08790306990477326,-0.1027397,0.01818430468817467,0.12642897495854877,0.21247208853971733,1932.0,50.66491100000872,109.23769178854852,Kurtosis,2.9816,3.8457,4.6461
1933.0,0.49982225433526023,0.0096,0.01855272089185736,0.007633600000000001,0.4884599464877515,0.0019515030066485917,0.010836400147690162,1933.0,75.9883610317284,106.32829686569495,Skewness,-0.431,1.0153,0.6926
1934.0,-0.011885656970912803,0.0027833333333333334,0.0796344261796561,0.0151515,-0.02663361771214723,-0.012183567346023327,0.0635204953936983,1934.0,75.0851894387234,151.50408745540773,Minimum,-0.4384,0.0003,-0.1783
1935.0,0.4674042105263158,0.001675,0.04472047729656613,0.029850699999999997,0.42487081916467706,-0.027359014272651194,0.014438769907682891,1935.0,110.18032313054879,197.0439412635012,Maximum,0.5256,0.1404,0.3281
1936.0,0.3194341027550261,0.001725,0.0501787540454506,0.014492799999999998,0.30058498468892636,-0.012585402281810154,0.03517615309389144,1936.0,145.3756757910145,123.87575448073558,25th percentile,-0.011899999999999999,0.0085,0.0081
1937.0,-0.3533672875436554,0.002758333333333333,0.01379146059646038,0.028571399999999997,-0.371329289871034,-0.025096037734149035,-0.014369385930368517,1937.0,94.00466756191786,164.72557722961295,75th percentile,0.2597,0.0506,0.0854
1938.0,0.29282654028436017,0.00065,0.04213248532204607,-0.0277778,0.3297644718299584,0.02924002352548616,0.07190772368913834,1938.0,121.53172913465568,162.91760746187666,75th percentile,0.2597,0.0506,0.0854
