Nominal,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Real,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
,Arithmetic Average,,Geometric Average,,,Arithmetic Average,,Geometric Average,
,Stocks - T. Bills,Stocks - T. Bonds,Stocks - T. Bills,Stocks - T. Bonds,,Stocks - T. Bills,Stocks - T. Bonds,Stocks - T. Bills,Stocks - T. Bonds
1928-2024,0.08438856268944708,0.07002434886018521,0.06627884221152147,0.05439470656534162,1928-2023,0.08209303782727265,0.06745506218841586,0.06432501846816008,0.05279121341949922
Std Error,0.020106755769719164,0.021243404039561403,0.06627884221152147,0.05439470656534162,Std Error,0.019718722682041473,0.020777238572154903,0.06432501846816008,0.05279121341949922
1975-2024,0.09252675208803063,0.07033217329428422,0.08016153924850067,0.06215675926043951,1974-2023,0.08953652591205849,0.06702590855057698,0.0773211282589803,0.05995432223476049
Std Error,0.023018787373718142,0.02673558996452267,0.08016153924850067,0.06215675926043951,Std Error,0.022299903157312024,0.025924894627342345,0.0773211282589803,0.05995432223476049
2015-2024,0.12337014994612638,0.13541009227438025,0.11216037366922071,0.12711877620494128,2014-2023,0.12006182293575182,0.13072455784543938,0.1089069021216511,0.1234314015287089
Std Error,0.05039289381343607,0.038358208719381566,0.11216037366922071,0.12711877620494128,Std Error,0.04826853732766975,0.038564856793299435,0.1089069021216511,0.1234314015287089
